player,shot_type,hit_type,hit_court_side,bounce_court_side,bounce_location_long,hit_velocity_x,hit_velocity_y,hit_velocity_z,bounce_y
guest,first_serve,first_serve,near,far,service_box,-3.424,27.066,-0.514,17.323
host,return,ground_stroke,far,near,service_box,-0.603,-12.615,7.36,5.614
guest,serve_plus_one,ground_stroke,near,far,out,-0.947,19.678,4.094,25.109
guest,first_serve,first_serve,near,far,service_box,4.26,29.786,-0.876,17.778
host,none,ground_stroke,far,near,no_mans_land,-1.456,-36.946,-6.642,5.313
guest,first_serve,first_serve,near,far,service_box,4.582,27.816,-0.758,18.135
host,none,ground_stroke,far,near,no_mans_land,-0.455,-12.629,7.266,3.536
guest,second_serve,second_serve,near,far,no_mans_land,3.684,25.731,0.647,20.229
host,return,ground_stroke,far,near,no_mans_land,-3.409,-22.196,2.756,4.91
guest,serve_plus_one,ground_stroke,near,far,no_mans_land,0.754,18.122,5.345,21.841
host,return_plus_one,ground_stroke,far,near,no_mans_land,-1.286,-20.634,3.222,4.259
guest,in_play,ground_stroke,near,far,no_mans_land,1.284,15.262,6.721,19.523
host,in_play,ground_stroke,far,far,service_box,1.796,-4.129,3.849,15.637
host,in_play,volley,far,near,no_mans_land,4.917,4.917,4.917,3.678
guest,first_serve,first_serve,near,far,service_box,-4.817,28.017,-0.802,17.692
host,return,ground_stroke,far,far,service_box,2.885,-15.949,4.431,13.402
guest,first_serve,first_serve,near,far,no_mans_land,4.451,26.402,0.476,18.847
host,return,ground_stroke,far,near,service_box,-1.96,-23.256,1.739,7.904
guest,serve_plus_one,ground_stroke,near,far,no_mans_land,-2.515,12.785,4.392,18.847
host,first_serve,first_serve,far,near,no_mans_land,11.101,-30.868,-0.684,4.526
guest,none,ground_stroke,near,far,no_mans_land,18.507,18.507,18.507,23.712
host,first_serve,first_serve,far,near,service_box,6.035,-27.702,-0.695,6.138
guest,return,ground_stroke,near,far,no_mans_land,-1.854,21.652,3.693,20.702
host,first_serve,first_serve,far,near,service_box,1.114,-33.891,-2.525,7.095
host,second_serve,second_serve,far,near,no_mans_land,-2.099,-24.212,0.683,4.978
guest,none,feed,near,far,service_box,4.917,4.917,4.917,14.761
host,second_serve,second_serve,far,near,no_mans_land,3.732,-21.71,0.73,5.219
guest,return,ground_stroke,near,far,no_mans_land,-1.265,15.657,5.649,20.766
host,first_serve,first_serve,far,near,service_box,-1.997,-31.347,-2.623,8.293
guest,return,ground_stroke,near,far,service_box,0.357,13.895,6.697,18.258
host,serve_plus_one,ground_stroke,far,near,no_mans_land,3.458,-22.671,3.555,2.411
guest,return_plus_one,ground_stroke,near,far,service_box,-2.493,16.88,4.2,17.886
host,first_serve,first_serve,far,near,service_box,4.061,-34.692,-2.021,6.434
guest,return,ground_stroke,near,far,service_box,-4.345,22.193,2.926,18.028
host,serve_plus_one,ground_stroke,far,far,service_box,-3.015,19.034,5.267,13.027
guest,first_serve,first_serve,far,near,service_box,24.408,24.408,24.408,6.904
host,return,ground_stroke,near,far,no_mans_land,-5.132,19.275,3.598,18.574
guest,first_serve,first_serve,far,near,service_box,-4.61,-26.457,0.072,7.281
host,return,ground_stroke,near,far,service_box,3.836,13.265,5.614,17.333
